date,symbol,entryTime,entryPrice,exitPrice,pnl,win,hour,minute,timeMinutes,volumeRatio,atrRatio,adx,boardScore,boardSignal,buyPressureRatio,largeBuyWall,largeSellWall,regime,slope,vwapDeviation,ma5_above_ma25_5m,ma5_5m,ma25_5m,rsi,bbPosition,roundUnit,barsAboveRound
"2026-06-26","5016","10:54",4694,4622,7200,1,10,54,654,3.3870072182121045,0.002571672043338,7.681008701272838,2,"sell_pressure",0.5,0,0,"down",-0.0004875980496078016,-0.008323301309161988,0,4715.6,0,31.182795698924735,-0.21838750407932855,100,10
"2026-06-26","5016","11:14",4600,4521,7900,1,11,14,674,2.886934673366834,0.0027950310559006213,68.41795574984864,2,"sell_pressure",0.39,0,0,"down",-0.0010114052076608566,-0.025501685755038063,0,4641.8,4713.12,9.890109890109898,0.08048592505664247,100,10
"2026-06-26","5016","11:19",4591,4521,7000,1,11,19,679,1.2888037666586865,0.0030650029560942214,78.1515627971947,2,"sell_pressure",0.37,0,0,"down",-0.0008637443316778234,-0.026638493562773213,0,4625.2,4709.4,23.711340206185568,0.1071381372146241,100,10
"2026-06-26","5016","11:23",4596,4521,7500,1,11,23,683,0.924633362089248,0.0030150441377595426,64.11881831427695,2,"sell_pressure",0.36,0,0,"down",-0.0002387670935532885,-0.02502670642084359,0,4613,4705.6,34.23423423423422,0.16394723019628718,100,10
"2026-06-26","5016","12:49",4487,4535,-9600,0,12,49,769,3.9067886502254043,0.00385239899391894,41.56292153586014,2,"sell_pressure",0.25,0,0,"down",-0.0009492273730684327,-0.04061882310523173,0,4525.8,4670.84,38.513513513513516,-0.07825670715249171,100,10
"2026-06-26","5016","13:19",4578,4578,0,0,13,19,799,2.347093907145363,0.0034949759720401923,61.9288709294641,2,"sell_pressure",0.32,0,0,"down",-0.0006510416666666667,-0.018112423706845945,0,4593.6,4629.28,42.74809160305343,0.19767846264958736,100,10
"2026-06-26","5803","09:57",6485,6387,9800,1,9,57,597,1.3132761938079411,0.00443881484745016,17.906026334429615,2,"sell_pressure",0.31,0,0,"down",-0.0007043331802174247,0.0021829007708739708,0,6505.2,0,52.26337448559671,0.2227256585594673,100,10
"2026-06-26","5803","10:08",6387,6436,-4900,0,10,8,608,1.8639199317804407,0.00405958531839227,28.622791585115994,2,"sell_pressure",0.27,0,0,"down",-0.0012064965197215777,-0.012203743760284854,0,6473.6,0,18.421052631578945,0.09873729564837522,100,10
"2026-06-26","5803","10:26",6392,6294,9800,1,10,26,626,1.2051159291430136,0.0029389415340604326,25.904258493679013,2,"sell_pressure",0.28,0,0,"down",-0.0006836544437538843,-0.01033002299707703,0,6401,0,52.54237288135593,0.31486348487457255,100,10
"2026-06-26","5803","10:57",6294,6124,17000,1,10,57,657,2.5808676028084254,0.0030300966907258614,31.94561001654787,2,"sell_pressure",0.19,0,0,"down",-0.0007568590350047304,-0.022562947973885656,0,6333.2,0,29.00763358778626,0.04040617776614957,100,10
"2026-06-26","5803","12:30",6124,6126,-200,0,12,30,750,11.704659318637274,0.003195857049547448,44.53129102428819,0,"none",0,0,0,"down",-0.0015434083601286173,-0.044084940334866825,0,6201.4,6354.4,23.404255319148945,-0.553123596132082,100,10
"2026-06-26","5803","12:37",6087,6119,-3200,0,12,37,757,1.2058588324424429,0.003931094369734094,43.95179229694001,2,"sell_pressure",0.12,0,0,"down",-0.0020595333869670154,-0.04808573907657188,0,6175.2,6340.16,22.76785714285714,0.02676578358058797,100,7
"2026-06-26","5803","12:49",6097,6133,-3600,0,12,49,769,1.1096473449533846,0.0036083319665409217,39.416610136070524,2,"sell_pressure",0.15,0,0,"down",-0.00018009168303863784,-0.04381538784609813,0,6107.8,6292.32,44.171779141104295,0.17959190001969463,100,10
"2026-06-26","5803","13:22",6197,6198,-100,0,13,22,802,1.3313216656608329,0.002823947071163466,46.600708250491394,3,"sell_pressure",0.18,0,0,"down",-0.0005935194096888033,-0.02460343903707926,0,6210,6237.08,39.99999999999999,0.2602559985819451,100,10
"2026-06-26","5803","13:58",6100,6134,-3400,0,13,58,838,1.0360694671218644,0.0020608899297423888,76.27805106073762,2,"sell_pressure",0.17,0,0,"down",-0.0005542875774372351,-0.036844003688319873,0,6128.2,6176.08,15.06849315068493,0.12826974884620818,100,10
"2026-06-26","5803","14:01",6087,6134,-4700,0,14,1,841,2.3809163768335098,0.0023586566218404565,74.15881249057635,2,"sell_pressure",0.17,0,0,"down",-0.0005554647933344225,-0.03853134088450539,0,6115.4,6169,15.06849315068493,0.0866371564560795,100,10
"2026-06-26","5803","14:03",6091,6134,-4300,0,14,3,843,1.0338298409492552,0.0025212843305110586,71.10271891898364,2,"sell_pressure",0.16,0,0,"down",-0.0002619944326183069,-0.037674716607056694,0,6116.2,6169.16,28.723404255319153,0.18287890999179005,100,10
